Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), F_{Drag} (lbs), F_{Side} (lbs), F_{Lift} (lbs), L/D, F_{Aero x} (lbs), F_{Aero y} (lbs), F_{Aero z} (lbs), F_{Prop x} (lbs), F_{Prop y} (lbs), F_{Prop z} (lbs), F_{Gear x} (lbs), F_{Gear y} (lbs), F_{Gear z} (lbs), F_{Ext x} (lbs), F_{Ext y} (lbs), F_{Ext z} (lbs), F_{Buoyant x} (lbs), F_{Buoyant y} (lbs), F_{Buoyant z} (lbs), F_{Total x} (lbs), F_{Total y} (lbs), F_{Total z} (lbs), L_{Aero} (ft-lbs), M_{Aero} ( ft-lbs), N_{Aero} (ft-lbs), L_{Prop} (ft-lbs), M_{Prop} (ft-lbs), N_{Prop} (ft-lbs), L_{Gear} (ft-lbs), M_{Gear} (ft-lbs), N_{Gear} (ft-lbs), L_{ext} (ft-lbs), M_{ext} (ft-lbs), N_{ext} (ft-lbs), L_{Buoyant} (ft-lbs), M_{Buoyant} (ft-lbs), N_{Buoyant} (ft-lbs), L_{Total} (ft-lbs), M_{Total} (ft-lbs), N_{Total} (ft-lbs), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), ECEF X (ft), ECEF Y (ft), ECEF Z (ft), EPA (deg), Distance AGL (ft), Terrain Radius (ft), WOW
2.1666658, -0.0000000000087121, 0.0000044255103129, 0.0000000000147746, -0.0000000001377616, 0.0000490760134671, 0.0000000002382874, 121.8200095, 27526074.61, 342.234925538, 1564.15014075, 339.7588992617162376, 0.0000000004224950, 41.0929997737669765, 339.7588992617162376, 0.0000000004224950, 41.0929997737669765, 342.2349271966443212, 0.0000000003876127, -0.0008534058952350, -22748.38711 , -2.57578811e-07 , -137575.8686, 6.04771969, -6064.728743 , -2.83144316e-07 , -139311.9801, 22913.63316 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9044193068584718, -0.0000002831443160, -139311.9801249585580081, -1.896744225e-06 , -17669.55218 , 2.450884664e-05, 0 , 17671.96369 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.0000018967442250, 2.4115100338021875, 0.0000245088466355, 4500.0000747815, 4500.0000747815, -0.0000000000002911, 6.8964367938735291, 0.0000000000005876, 6.8962862754123, 7.0732647950132e-11, 0.00015614325151999, 5.6282148667498e-17, 20930149.9999970607459545, 0.0000000000205599, 57.0391340480691440, 0.0090873076799252, 4500.0000747815, 20925650, 0
2.26666576, -0.0000000000322466, 0.0000112732146435, 0.0000000000523153, -0.0000000003084925, 0.0000827030332965, 0.0000000004619859, 121.8199929, 27526072.7, 342.234902798, 1564.15013587, 339.7588754083643607, 0.0000000009326190, 41.0930076067224732, 339.7588754083643607, 0.0000000009326190, 41.0930076067224732, 342.2349048891229586, 0.0000000009094750, -0.0014060287172555, -22748.38825 , -5.948947578e-07 , -137575.8764, 6.047719727, -6064.724405 , -6.539399395e-07 , -139311.9882, 22913.63322 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9088186988192319, -0.0000006539399395, -139311.9881682163977530, -4.039096282e-06 , -17667.80664 , 5.397377875e-05, 0 , 17671.87167 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.0000040390962815, 4.0650370764196850, 0.0000539737787471, 4500.0001923405, 4500.0001923405, -0.0000000000018068, 6.8965312355534012, 0.0000000000037756, 6.8962880567939, 1.5613583430978e-10, 0.00024982919566783, 2.3139882572994e-16, 20930149.9999933727085590, 0.0000000000845300, 91.2626120063017652, 0.0095051149295769, 4500.0001923405, 20925650, 0
2.36666572, -0.0000000000732488, 0.0000216019384135, 0.0000000001043895, -0.0000000004793686, 0.0001181359284035, 0.0000000005312847, 121.8199724, 27526070.34, 342.234874827, 1564.15012985, 339.7588469446425847, 0.0000000014333674, 41.0930099967437599, 339.7588469446425847, 0.0000000014333674, 41.0930099967437599, 342.2348773527609183, 0.0000000014639648, -0.0019686538632300, -22748.38676 , -9.347191667e-07 , -137575.8679, 6.047719748, -6064.72147 , -1.027493003e-06 , -139311.9796, 22913.63328 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9118109518713027, -0.0000010274930025, -139311.9796433143492322, -5.733380197e-06 , -17665.9723 , 8.150457322e-05, 0 , 17671.77966 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.0000057333801967, 5.8073632764062495, 0.0000815045732243, 4500.0003656484, 4500.0003656484, -0.0000000000059934, 6.8966265346015732, 0.0000000000116219, 6.8962890262095, 2.3996941058417e-10, 0.00034351513299338, 5.5717989302363e-16, 20930149.9999894760549068, 0.0000000002035378, 125.4860874728300359, 0.0099229221792286, 4500.0003656484, 20925650, 0
2.46666568, -0.0000000001292620, 0.0000355025820163, 0.0000000001483992, -0.0000000006097159, 0.0001538506316117, 0.0000000003307350, 121.8199479, 27526067.51, 342.234841584, 1564.15012267, 339.7588135383049917, 0.0000000017776007, 41.0930093428108663, 339.7588135383049917, 0.0000000017776007, 41.0930093428108663, 342.2348445472279650, 0.0000000019070742, -0.0025409635629714, -22748.38356 , -1.177405955e-06 , -137575.8487, 6.047719759, -6064.719169 , -1.294267229e-06 , -139311.9603, 22913.63333 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9141647187243507, -0.0000012942672291, -139311.9603134614590090, -6.252966021e-06 , -17664.12409 , 9.992969929e-05, 0 , 17671.68764 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.0000062529660211, 7.5635463054459251, 0.0000999296992901, 4500.0005957112, 4500.0005957112, -0.0000000000144583, 6.8967230449716022, 0.0000000000245488, 6.8962895890609, 2.9759978978952e-10, 0.00043720106205992, 1.0226964290216e-15, 20930149.9999863728880882, 0.0000000003735910, 159.7095599230005689, 0.01034072942888, 4500.0005957112, 20925650, 0
2.56666564, -0.0000000001944423, 0.0000529201595194, 0.0000000001530528, -0.0000000006704021, 0.0001884414121283, -0.0000000002071946, 121.8199194, 27526064.22, 342.234803008, 1564.15011433, 339.7587748524907170, 0.0000000018401987, 41.0930079299645428, 339.7587748524907170, 0.0000000018401987, 41.0930079299645428, 342.2348064139482062, 0.0000000021004489, -0.0031227631494843, -22748.37948 , -1.237854236e-06 , -137575.8243, 6.04771977, -6064.716765 , -1.360715201e-06 , -139311.9357, 22913.63338 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9166159879496263, -0.0000013607152009, -139311.9356745201803278, -5.093152375e-06 , -17662.33115 , 0.000104814982, 0 , 17671.59562 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.0000050931523749, 9.2644627728332125, 0.0001048149819948, 4500.0008834861, 4500.0008834898, -0.0000000000287149, 6.8968211223073412, 0.0000000000402234, 6.8962901319058, 3.0807977418354e-10, 0.00053088698141715, 1.5784148908181e-15, 20930149.9999850206077099, 0.0000000005765950, 193.9330288272212499, 0.010758536678532, 4500.0008834898, 20925650, 0
2.6666656, -0.0000000002606504, 0.0000736681417124, 0.0000000000827291, -0.0000000006426849, 0.0002206625988698, -0.0000000011096433, 121.8198868, 27526060.45, 342.234759022, 1564.1501048, 339.7587305549862435, 0.0000000015201859, 41.0930078544178699, 339.7587305549862435, 0.0000000015201859, 41.0930078544178699, 342.2347628762416889, 0.0000000019094853, -0.0037139737854588, -22748.37534 , -1.047079479e-06 , -137575.7997, 6.047719786, -6064.713579 , -1.151005451e-06 , -139311.9108, 22913.63342 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9198439005667751, -0.0000011510054514, -139311.9107721964246593, -1.948970249e-06 , -17660.65473 , 9.401287344e-05, 0 , 17671.50359 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.0000019489702490, 10.8488598647709296, 0.0000940128734403, 4500.0012299083, 4500.0012299083, -0.0000000000499772, 6.8969211100361179, 0.0000000000529083, 6.8962910098241, 2.5450436113389e-10, 0.00062457288959626, 2.1374835419978e-15, 20930149.9999863579869270, 0.0000000007808228, 228.1564936491375590, 0.011176343928184, 4500.0012299083, 20925650, 0
2.76666556, -0.0000000003184002, 0.0000974464248421, -0.0000000000989726, -0.0000000005166155, 0.0002494608483155, -0.0000000023718220, 121.8198501, 27526056.2, 342.23470953, 1564.15009408, 339.7586803265766093, 0.0000000007405172, 41.0930109620124711, 339.7586803265766093, 0.0000000007405172, 41.0930109620124711, 342.2347138401688085, 0.0000000012015048, -0.0043146214741796, -22748.37183 , -5.521856506e-07 , -137575.7791, 6.047719816, -6064.709009 , -6.069918426e-07 , -139311.8901, 22913.63346 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9244506827744772, -0.0000006069918426, -139311.8900515650457237, 3.31525964e-06 , -17659.14661 , 6.716002013e-05, 0 , 17671.41155 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0000033152596398, 12.2649420325578831, 0.0000671600201260, 4500.0016359203, 4500.0016359203, -0.0000000000790094, 6.8970233270856953, 0.0000000000532116, 6.8962925360219, 1.2397488399688e-10, 0.00071825878510506, 2.5765065905108e-15, 20930149.9999913237988949, 0.0000000009411979, 262.3799538438589138, 0.011594151177836, 4500.0016359203, 20925650, 0
2.86666552, -0.0000000003576333, 0.0001238619540481, -0.0000000004265445, -0.0000000002892272, 0.0002739975853269, -0.0000000039656376, 121.8198092, 27526051.45, 342.234654422, 1564.15008212, 339.7586238682529824, -0.0000000005538852, 41.0930188011519206, 339.7586238682529824, -0.0000000005538852, 41.0930188011519206, 342.2346591959880016, -0.0000000001559140, -0.0049248230740702, -22748.36952 , 2.848681333e-07 , -137575.7662, 6.047719862, -6064.702545 , 3.131420908e-07 , -139311.8772, 22913.63349 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9309460708791448, 0.0000003131420908, -139311.8772413909609895, 1.070047915e-05 , -17657.84804 , 2.5170781e-05, 0 , 17671.31952 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0000107004791540, 13.4714744593657088, 0.0000251707809979, 4500.0021024793, 4500.0021024793, -0.0000000001160238, 6.8971280575393532, 0.0000000000281512, 6.8962949738631, -9.272960722927e-11, 0.00081194466642343, 2.7358385606161e-15, 20930150.0000008791685104, 0.0000000009994019, 296.6034088563012006, 0.012011958427487, 4500.0021024793, 20925650, 0
2.96666548, -0.0000000003683099, 0.0001524510169085, -0.0000000009307221, 0.0000000000372961, 0.0002936616115866, -0.0000000058478567, 121.819764, 27526046.2, 342.234593572, 1564.15006891, 339.7585609071073236, -0.0000000023992607, 41.0930325907078711, 339.7585609071073236, -0.0000000023992607, 41.0930325907078711, 342.2345988201168439, -0.0000000022963824, -0.0055447700939268, -22748.36889 , 1.489300668e-06 , -137575.7639, 6.047719931, -6064.69378 , 1.637119175e-06 , -139311.8753, 22913.63352 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9397365288241417, 0.0000016371191749, -139311.8752750155108515, 2.010798357e-05 , -17656.78907 , -3.023563699e-05, 0 , 17671.22747 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0000201079835709, 14.4384030432011059, -0.0000302356369924, 4500.0026305355, 4500.0026305355, -0.0000000001606193, 6.8972355424452365, 360.0000030593554357, 6.8962985314175, -4.0167626765674e-10, 0.00090563053199927, 2.4194510084992e-15, 20930150.0000159703195095, 0.0000000008838255, 330.8268581197007165, 0.012429765677139, 4500.0026305355, 20925650, 0
3.06666544, -0.0000000003408216, 0.0001827022375670, -0.0000000016374015, 0.0000000004573532, 0.0003080722244180, -0.0000000079673512, 121.8197143, 27526040.44, 342.234526845, 1564.15005442, 339.7584912008218794, -0.0000000048167714, 41.0930532028102320, 339.7584912008218794, -0.0000000048167714, 41.0930532028102320, 342.2345325774937237, -0.0000000053558843, -0.0061747110520258, -22748.37025 , 3.076049788e-06 , -137575.7743, 6.047720025, -6064.682418 , 3.381357458e-06 , -139311.8862, 22913.63354 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9511195799932466, 0.0000033813574575, -139311.8862470501917414, 3.137287986e-05 , -17655.98842 , -9.694733538e-05, 0 , 17671.13543 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0000313728798556, 15.1470077507510723, -0.0000969473353773, 4500.0032210834, 4500.0032210797, -0.0000000002117533, 6.8973459738983065, 360.0000030592279359, 6.8963033585098, -8.0640804368815e-10, 0.00099931638024501, 1.3944385067513e-15, 20930150.0000375956296921, 0.0000000005093884, 365.0503010543458799, 0.012847572926791, 4500.0032210797, 20925650, 0
3.1666654, -0.0000000002662463, 0.0002140793714684, -0.0000000025672129, 0.0000000009633705, 0.0003170736537095, -0.0000000102711233, 121.8196601, 27526034.15, 342.234454096, 1564.15003861, 339.7584145406937068, -0.0000000078164325, 41.0930811598844343, 339.7584145406937068, -0.0000000078164325, 41.0930811598844343, 342.2344603242090102, -0.0000000094736635, -0.0068149331720946, -22748.37381 , 5.052319817e-06 , -137575.7986, 6.047720146, -6064.668272 , 5.553779008e-06 , -139311.9114, 22913.63355 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 16848.9652818343784020, 0.0000055537790082, -139311.9114048666961025, 4.429242723e-05 , -17655.45375 , -0.0001727938762, 0 , 17671.04337 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0000442924272253, 15.5896290603959642, -0.0001727938761760, 4500.0038751364, 4500.0038751327, -0.0000000002677366, 6.8974594914191067, 360.0000030590182405, 6.8963095461663, -1.3086017261392e-09, 0.0010930022095348, -6.0975910506724e-16, 20930150.0000667683780193, -0.0000000002227450, 399.2737370665593062, 0.013265380176442, 4500.0038751327, 20925650, 0
